date,price,market_caps,total_volumes
23/10/2013,206.78,2458505640,0
24/10/2013,198.8,2364666360,0
25/10/2013,172.48,2052637048,0
26/10/2013,178.96,2130644072,0
27/10/2013,189.83,2260913266,0
28/10/2013,198.55,2365643830,0
29/10/2013,204.39,2436022215,0
30/10/2013,204.2,2434768490,0
31/10/2013,203.88,2432069229,0
1/11/2013,205.26,2449516394,0
2/11/2013,206.89,2470106260,0
3/11/2013,212.45,2537555912,0
4/11/2013,226.28,2703825377,0
5/11/2013,230.63,2756789579,0
6/11/2013,260.85,3119094311,0
7/11/2013,295.63,3536067384,0
8/11/2013,332.02,3972444990,0
9/11/2013,358,4284552950,0
10/11/2013,313,3747322075,0
11/11/2013,340.55,4078792891,0
12/11/2013,355.48,4259334699,0
13/11/2013,404.17,4844512975,0
14/11/2013,408.84,4902328893,0
15/11/2013,424.16,5087746180,0
16/11/2013,437.41,5248843453,0
17/11/2013,488.36,5862542038,0
18/11/2013,580.87,6975450004,0
19/11/2013,614.4,7380464640,0
20/11/2013,565.34,6793450510,0
21/11/2013,675.06,8114440594,0
22/11/2013,731.15,8790506777,0
23/11/2013,819.31,9853534129,0
24/11/2013,764.43,9196532447,0
25/11/2013,793.07,9544775891,0
26/11/2013,832.93,10028164851,0
27/11/2013,914.13,11009416068,0
28/11/2013,979.08,11795833455,0
29/11/2013,1101.83,13280659993,0
30/11/2013,1127.45,13593664650,0
1/12/2013,1033.39,12464724345,0
2/12/2013,974.03,11753157346,0
3/12/2013,1078.64,13020236474,0
4/12/2013,1121.48,13542487814,0
5/12/2013,989.04,11947405392,0
6/12/2013,1019.66,12322234219,0
7/12/2013,811.98,9816777302,0
8/12/2013,743.11,8987358118,0
9/12/2013,897.89,10863885372,0
10/12/2013,927.78,11230173843,0
11/12/2013,887.08,10741252534,0
12/12/2013,878.17,10636987805,0
13/12/2013,897.27,10872198158,0
14/12/2013,866.99,10509219285,0
15/12/2013,854.62,10363485334,0
16/12/2013,789.15,9573257565,0
17/12/2013,691.65,8393847109,0
18/12/2013,559.36,6791343584,0
19/12/2013,677.84,8233502182,0
20/12/2013,694.25,8436421862,0
21/12/2013,596.12,7246404914,0
22/12/2013,650.27,7907201916,0
23/12/2013,645.75,7854951431,0
24/12/2013,659.94,8030446893,0
25/12/2013,668.74,8140337961,0
26/12/2013,734.59,8944973877,0
27/12/2013,734.27,8944473292,62881800
28/12/2013,738.81,9002769255,28121600
29/12/2013,726.47,8855251580,27018300
30/12/2013,760.52,9270681761,24717100
31/12/2013,755.16,9205343763,21903500
1/1/2014,767.74,9358693020,23448600
2/1/2014,772.53,9417082760,16837800
3/1/2014,825.47,10062417390,54171500
4/1/2014,849.14,10350952914,36344700
5/1/2014,919.41,11207538944,62414600
6/1/2014,936.38,11414401972,88584600
7/1/2014,826.5,10107681750,80268100
8/1/2014,838.32,10256342208,78060300
9/1/2014,853.29,10443906952,58813600
10/1/2014,863.3,10570439442,29763600
11/1/2014,905.72,11094594497,48299500
12/1/2014,867.45,10630187711,40171100
13/1/2014,840.96,10309307616,42950500
14/1/2014,838.05,10276902394,23469400
15/1/2014,860.44,10555404678,28600400
16/1/2014,837.98,10283900055,18719700
17/1/2014,812.9,9979241690,39266000
18/1/2014,840,10315662000,18052700
19/1/2014,838.17,10293335273,17574100
20/1/2014,869.15,10677333920,25421600
21/1/2014,869.57,10686776168,26779700
22/1/2014,865.03,10635024832,17879900
23/1/2014,846.97,10417265166,18412100
24/1/2014,808.32,9945387408,20176000
25/1/2014,804.39,9900713656,31742800
26/1/2014,853.51,10508799200,22676800
27/1/2014,891.86,10984370725,32539200
28/1/2014,777,9573533550,61878700
29/1/2014,816.85,10067676250,33409200
30/1/2014,817.17,10074827642,16261700
31/1/2014,817.93,10087796517,31107400
1/2/2014,832.52,10271715012,14722200
2/2/2014,836.41,10323662258,19347600
3/2/2014,813.38,10043290888,12759200
4/2/2014,832.36,10281144248,14823400
5/2/2014,830.92,10267242207,15706200
6/2/2014,805.08,9951171213,47441900
7/2/2014,721.32,8918941470,65733100
8/2/2014,701.61,8678266711,86940400
9/2/2014,672.07,8315656524,34864400
10/2/2014,689.65,8535556672,38527400
11/2/2014,697.76,8638931672,121884000
12/2/2014,655.26,8115968452,65970400
13/2/2014,651.91,8077474557,19109100
14/2/2014,623.57,7729134561,90917600
15/2/2014,644.1,7986582360,57350800
16/2/2014,613.85,7614456286,24104900
17/2/2014,645.14,8005429360,48516100
18/2/2014,625.01,7758139753,22066400
19/2/2014,620.99,7711283048,13276100
20/2/2014,593.89,7377405511,35743400
21/2/2014,582.75,7241455462,56059000
22/2/2014,571.06,7098404288,21675800
23/2/2014,622.97,7746491782,44590700
24/2/2014,572.39,7120130927,47229500
25/2/2014,489.31,6088839080,111102000
26/2/2014,567.25,7061198906,75039300
27/2/2014,586.28,7300959497,38219000
28/2/2014,567.2,7065922360,24649000
1/3/2014,560.11,6979712746,22903800
2/3/2014,561.35,6997269851,11143900
3/3/2014,585.79,7304054418,33049800
4/3/2014,675,8418886875,86124600
5/3/2014,658.24,8212712376,26946700
6/3/2014,654.55,8169324004,16659800
7/3/2014,617.62,7711032022,29823000
8/3/2014,610.37,7623170337,21353000
9/3/2014,636.17,7947989895,15489000
10/3/2014,621.17,7763134192,16425700
11/3/2014,624.23,7803983008,12542300
12/3/2014,638.07,7979719372,20806300
13/3/2014,639.03,7994472985,12866600
14/3/2014,629.67,7879611671,11939800
15/3/2014,638.07,7987471922,5963930
16/3/2014,629.55,7883319532,4834240
17/3/2014,623.705,7812934238,13371500
18/3/2014,612.622,7676276184,23217800
19/3/2014,610.636,7653772688,15227500
20/3/2014,592.07,7423640092,20048500
21/3/2014,582.303,7303695511,38053400
22/3/2014,561.22,7041711523,17983700
23/3/2014,567.779,7127031703,10283000
24/3/2014,571.418,7175538679,17185800
25/3/2014,582.55,7317439677,18634700
26/3/2014,584.442,7343002343,17583200
27/3/2014,567.64,7133333206,22316700
28/3/2014,503.661,6331497248,79571600
29/3/2014,502.302,6317113200,26810900
30/3/2014,469.938,5912148997,17867800
31/3/2014,457.399,5756309240,56838500
1/4/2014,478.7163,6023351178,35685800
2/4/2014,437.515,5506313797,49647600
3/4/2014,447.0822,5604036051,40765500
4/4/2014,448.8792,5641613449,22925500
5/4/2014,464.8259,5824866676,13404500
6/4/2014,460.7028,5808861023,10241400
7/4/2014,457.792,5775641210,9802770
8/4/2014,450.4638,5718579640,10921600
9/4/2014,440.1983,5589580215,13204400
10/4/2014,360.8407,4611917257,55868300
11/4/2014,420.0563,5318033925,62562800
12/4/2014,420.66,5321874506,19226500
13/4/2014,414.9495,5234667259,22493500
14/4/2014,457.6338,5802302128,50730200
15/4/2014,520.1233,6522974948,49561000
16/4/2014,529.1625,6674473792,56480100
17/4/2014,494.4,6278792387,34025500
18/4/2014,478.2312,6074116360,19042400
19/4/2014,501.5515,6353700029,19588200
20/4/2014,497.3177,6312896984,12103100
21/4/2014,492.6733,6284666435,15171400
22/4/2014,484.8533,6187034895,9770190.335015288
23/4/2014,487.525,6231920621,8412033.043193607
24/4/2014,494.2733,6350012525,9512215.003743047
25/4/2014,458.8067,5857079867,44062361.80745845
26/4/2014,453.8,5822776642,11997979.867558926
27/4/2014,437.9216,5542720307,9760121.834963577
28/4/2014,436.92,5593864954,20781687.97683261
29/4/2014,443.27,5683724524,15011935.551518673
30/4/2014,444.9968,5690810165,13054745.683608102
1/5/2014,455.0913,5821425472,11953625.134976294
2/5/2014,443.4734,5716625927,8165770.147874059
